sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
209011201,Ivanhoe East - Eaglemont,Middle ring,145.062799,-37.768557,8169,1.2,30.6,25,Moderate
212031458,Narre Warren South - West,Outer / growth corridor,145.292052,-38.050084,17083,0,39.81,68,Moderate
212031555,Clyde North - North,Outer / growth corridor,145.357535,-38.084846,13667,4.3,19.02,26,Low
209011202,Montmorency - Briar Hill,Middle ring,145.119695,-37.728844,17042,0.7,33.45,57,Moderate
209011203,Viewbank - Yallambie,Middle ring,145.088247,-37.73121,18993,0.5,34.75,66,Moderate
209011204,Watsonia,Middle ring,145.084153,-37.704893,9504,0.2,55.77,53,High
209021205,Kingsbury,Middle ring,145.049049,-37.714548,12932,3.8,53.36,69,High
209021428,Preston - East,Middle ring,145.016007,-37.742747,23403,4.1,63.24,148,High
209021429,Preston - West,Middle ring,144.990071,-37.739927,13610,1.5,37.47,51,Moderate
212031556,Clyde North - South,Outer / growth corridor,145.36362,-38.107625,28328,15.4,31.06,88,Moderate
212031557,Cranbourne East - North,Outer / growth corridor,145.312906,-38.102232,25111,0.2,25.89,65,Moderate
209021523,Reservoir - North East,Middle ring,145.021214,-37.705936,16329,2.6,36.74,60,Moderate
212031558,Cranbourne East - South,Outer / growth corridor,145.304225,-38.122484,15590,3.6,8.34,13,Very low
209021524,Reservoir - North West,Middle ring,144.99399,-37.699953,9751,-0.6,68.71,67,High
209021525,Reservoir - South East,Middle ring,145.022024,-37.725337,14143,2.3,70.71,100,High
212031559,Cranbourne North - East,Outer / growth corridor,145.31544,-38.079542,13691,0.5,21.18,29,Moderate
209021526,Reservoir - South West,Middle ring,144.993937,-37.717804,15350,1.6,68.4,105,High
209031209,Eltham,Middle ring,145.156825,-37.714696,23669,0.7,29.15,69,Moderate
212031560,Cranbourne North - West,Outer / growth corridor,145.279932,-38.075131,12313,0.1,38.98,48,Moderate
209031210,Hurstbridge,Middle ring,145.194343,-37.637567,3521,0.1,11.36,4,Low
212031561,Hampton Park - East,Outer / growth corridor,145.275274,-38.043449,13393,0.3,37.33,50,Moderate
212031562,Hampton Park - West,Outer / growth corridor,145.257903,-38.030809,13748,0.2,40.01,55,Moderate
212041309,Clarinda - Oakleigh South,Outer / growth corridor,145.099056,-37.938551,11741,0.1,47.7,56,High
209031211,Kinglake,Middle ring,145.408299,-37.49105,4419,1.1,56.57,25,High
209031212,Panton Hill - St Andrews,Middle ring,145.264766,-37.595852,5130,0.1,3.9,2,Very low
209031213,Plenty - Yarrambat,Middle ring,145.12385,-37.653509,9579,-0.1,58.46,56,High
209031214,Research - North Warrandyte,Middle ring,145.220622,-37.698993,7039,0.3,82.4,58,High
209031215,Wattle Glen - Diamond Creek,Middle ring,145.167309,-37.667728,14859,0.6,31.63,47,Moderate
209041216,Bundoora - North,Middle ring,145.071201,-37.682811,8014,0.6,44.92,36,Moderate
209041217,Bundoora - West,Middle ring,145.052585,-37.692903,6806,1.3,24.98,17,Moderate
212041310,Clayton South,Outer / growth corridor,145.12522,-37.943048,15349,1.8,44.95,69,Moderate
209041220,Mill Park - North,Middle ring,145.067717,-37.659507,17610,-0.3,60.19,106,High
209041221,Mill Park - South,Middle ring,145.059237,-37.671389,11494,1.8,40.02,46,Moderate
209041223,Thomastown,Middle ring,145.008281,-37.683841,20595,0.5,55.35,114,High
209041224,Wallan,Middle ring,145.071564,-37.384808,30342,7.1,15.49,47,Low
209041225,Whittlesea,Middle ring,145.101963,-37.497915,18174,15.3,34.66,63,Moderate
209041431,Epping - East,Middle ring,145.045395,-37.635776,13555,0.8,33.94,46,Moderate
209041432,Epping - South,Middle ring,144.99652,-37.639201,8322,-0.7,88.92,74,High
209041433,Epping (Vic.) - West,Middle ring,145.010056,-37.631928,12895,0.3,30.24,39,Moderate
209041435,South Morang - North,Middle ring,145.082544,-37.623699,13259,1.8,37.71,50,Moderate
209041436,South Morang - South,Middle ring,145.08559,-37.645714,13054,1.5,32.94,43,Moderate
