sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
208011171,Highett (West) - Cheltenham,Bayside,Melbourne - Inner South,Inner Melbourne,12543,12542,12751,13073,13257,2492.0,1.4,Stable,5.3198,2,0,73,75,56.57,177.0,Bus,High
212051321,Glen Waverley - East,Monash,Melbourne - South East,Outer / growth corridor,21882,21727,22410,22630,22820,2490.0,0.8,Stable,9.1645,0,0,82,82,35.93,278.0,Bus,Moderate
212021295,Doveton,Casey - North,Melbourne - South East,Outer / growth corridor,12058,12134,12468,12728,12893,2482.5,1.3,Stable,5.1935,0,0,46,46,35.68,280.0,Bus,Moderate
211041272,Vermont,Whitehorse - East,Melbourne - Outer East,Outer / growth corridor,11079,10983,11141,11333,11435,2480.6,0.9,Stable,4.6098,0,0,50,50,43.73,229.0,Bus,Moderate
213051467,Werribee - East,Wyndham,Melbourne - West,Outer / growth corridor,19235,18765,18910,19040,19205,2475.9,0.9,Stable,7.7569,1,0,103,104,54.15,185.0,Bus,High
207021160,Templestowe Lower,Manningham - West,Melbourne - Inner East,Inner Melbourne,14280,14336,14433,14586,14695,2474.5,0.7,Stable,5.9386,0,0,63,63,42.87,233.0,Bus,Moderate
212041312,Dandenong North,Dandenong,Melbourne - South East,Outer / growth corridor,22834,22542,22878,23248,23391,2472.9,0.6,Stable,9.459,0,0,103,103,44.03,227.0,Bus,Moderate
208011168,Beaumaris,Bayside,Melbourne - Inner South,Inner Melbourne,14123,13999,14199,14376,14486,2427.4,0.8,Stable,5.9678,0,0,75,75,51.77,193.0,Bus,High
212021454,Endeavour Hills - South,Casey - North,Melbourne - South East,Outer / growth corridor,13461,13298,13490,13564,13539,2423.2,-0.2,Decline,5.5873,0,0,75,75,55.4,181.0,Bus,High
209041528,Doreen - South,Whittlesea - Wallan,Melbourne - North East,Middle ring,10595,11089,11470,11781,11947,2378.8,1.4,Stable,5.0223,0,0,33,33,27.62,362.0,Bus,Moderate
210011533,Avondale Heights,Keilor,Melbourne - North West,Outer / growth corridor,12473,12377,12556,12792,12861,2377.8,0.5,Stable,5.4087,0,0,45,45,34.99,286.0,Bus,Moderate
212051324,Mount Waverley - South,Monash,Melbourne - South East,Outer / growth corridor,19471,19586,20213,20522,20659,2374.4,0.7,Stable,8.7006,0,0,69,69,33.4,299.0,Bus,Moderate
210011226,Airport West,Keilor,Melbourne - North West,Outer / growth corridor,8240,8273,8437,8612,8783,2361.4,2,Growing,3.7194,0,9,48,57,64.9,154.0,Bus,High
211031267,Ringwood East,Maroondah,Melbourne - Outer East,Outer / growth corridor,21351,21244,21435,21824,22164,2359.7,1.6,Stable,9.3929,2,0,51,53,23.91,418.0,Bus,Moderate
209041221,Mill Park - South,Whittlesea - Wallan,Melbourne - North East,Middle ring,11339,11146,11265,11288,11494,2331.5,1.8,Stable,4.9298,0,0,46,46,40.02,250.0,Bus,Moderate
213021346,Williamstown,Hobsons Bay,Melbourne - West,Outer / growth corridor,16075,16154,16557,16867,17102,2328.0,1.4,Stable,7.3463,2,0,69,71,41.52,241.0,Bus,Moderate
213021344,Newport,Hobsons Bay,Melbourne - West,Outer / growth corridor,18983,18928,19445,19879,20328,2299.4,2.3,Growing,8.8407,3,0,88,91,44.77,223.0,Bus,Moderate
212041565,Keysborough - North,Dandenong,Melbourne - South East,Outer / growth corridor,15205,14987,15099,15059,15067,2281.0,0.1,Stable,6.6053,0,0,75,75,49.78,201.0,Bus,High
212031557,Cranbourne East - North,Casey - South,Melbourne - South East,Outer / growth corridor,23785,24228,24805,25066,25111,2277.6,0.2,Stable,11.0254,0,0,65,65,25.89,386.0,Bus,Moderate
213011329,Cairnlea,Brimbank,Melbourne - West,Outer / growth corridor,10142,9989,10071,10009,10035,2277.5,0.3,Stable,4.4061,0,0,15,15,14.95,669.0,Bus,Low
213011569,Deer Park,Brimbank,Melbourne - West,Outer / growth corridor,18219,17960,18163,18398,18368,2274.1,-0.2,Decline,8.0769,1,0,68,69,37.57,266.0,Bus,Moderate
213011331,Delahey,Brimbank,Melbourne - West,Outer / growth corridor,8148,8024,8000,7981,7859,2241.9,-1.5,Decline,3.5055,0,0,30,30,38.17,262.0,Bus,Moderate
207011522,Kew - West,Boroondara,Melbourne - Inner East,Inner Melbourne,13143,13160,13409,13624,13799,2221.8,1.3,Stable,6.2106,0,10,41,51,36.96,271.0,Bus,Moderate
213051466,Point Cook - South,Wyndham,Melbourne - West,Outer / growth corridor,19384,19610,20167,20490,20835,2211.3,1.7,Stable,9.4219,0,0,22,22,10.56,947.0,Bus,Low
212041317,Springvale,Dandenong,Melbourne - South East,Outer / growth corridor,22515,22598,23468,24023,24468,2203.3,1.9,Stable,11.1052,1,0,84,85,34.74,288.0,Bus,Moderate
211011446,Boronia,Knox,Melbourne - Outer East,Outer / growth corridor,23837,23829,24161,24512,24763,2198.6,1,Stable,11.2631,1,0,113,114,46.04,217.0,Bus,High
211031451,Croydon - West,Maroondah,Melbourne - Outer East,Outer / growth corridor,14246,14192,14584,14793,14940,2197.7,1,Stable,6.7979,1,0,66,67,44.85,223.0,Bus,Moderate
206071145,Clifton Hill - Alphington,Yarra,Melbourne - Inner,Inner Melbourne,9978,10233,10924,11220,11419,2192.2,1.8,Stable,5.2089,1,4,28,33,28.9,346.0,Bus,Moderate
210031440,Hadfield,Moreland - North,Melbourne - North West,Outer / growth corridor,6298,6364,6502,6625,6650,2180.2,0.4,Stable,3.0502,1,0,32,33,49.62,202.0,Bus,High
