path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206041127-0,206041127,West Melbourne - Industrial,Very low,0,1,144.90704,-37.8233
206041127-0,206041127,West Melbourne - Industrial,Very low,0,2,144.93183,-37.82082
206041127-0,206041127,West Melbourne - Industrial,Very low,0,3,144.93503,-37.80945
206041127-0,206041127,West Melbourne - Industrial,Very low,0,4,144.94603,-37.81163
206041127-0,206041127,West Melbourne - Industrial,Very low,0,5,144.93787,-37.80308
206041127-0,206041127,West Melbourne - Industrial,Very low,0,6,144.92605,-37.79947
206041127-0,206041127,West Melbourne - Industrial,Very low,0,7,144.91172,-37.79972
206041127-0,206041127,West Melbourne - Industrial,Very low,0,8,144.90769,-37.80591
206041127-0,206041127,West Melbourne - Industrial,Very low,0,9,144.90759,-37.80612
206041503-0,206041503,Melbourne CBD - East,Moderate,5,0,144.96534,-37.81137
206041503-0,206041503,Melbourne CBD - East,Moderate,5,1,144.96226,-37.81227
206041503-0,206041503,Melbourne CBD - East,Moderate,5,2,144.96498,-37.81816
206041503-0,206041503,Melbourne CBD - East,Moderate,5,3,144.97035,-37.8166
206041503-0,206041503,Melbourne CBD - East,Moderate,5,4,144.97487,-37.81528
206041503-0,206041503,Melbourne CBD - East,Moderate,5,5,144.97129,-37.80754
206041503-0,206041503,Melbourne CBD - East,Moderate,5,6,144.96586,-37.80696
206041503-0,206041503,Melbourne CBD - East,Moderate,5,7,144.96576,-37.81125
206041503-0,206041503,Melbourne CBD - East,Moderate,5,8,144.96534,-37.81137
206041504-0,206041504,Melbourne CBD - North,Low,3.9,0,144.95569,-37.80771
206041504-0,206041504,Melbourne CBD - North,Low,3.9,1,144.95979,-37.81299
206041504-0,206041504,Melbourne CBD - North,Low,3.9,2,144.96721,-37.81083
206041504-0,206041504,Melbourne CBD - North,Low,3.9,3,144.96586,-37.80696
206041504-0,206041504,Melbourne CBD - North,Low,3.9,4,144.95599,-37.80587
206041504-0,206041504,Melbourne CBD - North,Low,3.9,5,144.95569,-37.80771
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,0,144.9528,-37.8161
206041505-0,206041505,Melbourne CBD - West,Moderate,3.9,1,144.95599,-37.82304
