rank_type,rank,sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
Lowest access,12,213051579,Manor Lakes - Quandong,Wyndham,Melbourne - West,Outer / growth corridor,10791,11395,11954,12519,13667,189.7,9.2,Rapid growth,72.0339,0,0,14,14,10.24,976.0,Bus,Low
Lowest access,13,213051466,Point Cook - South,Wyndham,Melbourne - West,Outer / growth corridor,19384,19610,20167,20490,20835,2211.3,1.7,Stable,9.4219,0,0,22,22,10.56,947.0,Bus,Low
Lowest access,14,209031210,Hurstbridge,Nillumbik - Kinglake,Melbourne - North East,Middle ring,3576,3527,3512,3518,3521,237.2,0.1,Stable,14.8421,1,0,3,4,11.36,880.0,Bus,Low
Lowest access,15,206041504,Melbourne CBD - North,Melbourne City,Melbourne - Inner,Inner Melbourne,17360,18774,21527,23395,24296,43262.1,3.9,Growing,0.5616,2,15,12,29,11.94,838.0,Tram,Low
Highest access,1,206051511,Port Melbourne Industrial,Port Phillip,Melbourne - Inner,Inner Melbourne,1944,2195,2457,2567,3148,411.9,22.6,Rapid growth,7.6426,0,4,51,55,174.71,57.0,Bus,High
Highest access,2,211051282,Mount Dandenong - Olinda,Yarra Ranges,Melbourne - Outer East,Outer / growth corridor,9770,9631,9613,9578,9587,117.1,0.1,Stable,81.8993,0,0,135,135,140.82,71.0,Bus,High
Highest access,3,212041564,Dandenong - South,Dandenong,Melbourne - South East,Outer / growth corridor,9491,9535,9798,9993,10039,186.7,0.5,Stable,53.7832,1,0,128,129,128.5,78.0,Bus,High
Highest access,4,214021383,Point Nepean,Mornington Peninsula,Mornington Peninsula,Outer / growth corridor,20000,19931,19927,20222,20574,306.2,1.7,Stable,67.1876,0,0,198,198,96.24,104.0,Bus,High
Highest access,5,213011336,Sunshine,Brimbank,Melbourne - West,Outer / growth corridor,9568,9601,9910,10059,10151,2145.2,0.9,Stable,4.732,1,0,95,96,94.57,106.0,Bus,High
Highest access,6,209041432,Epping - South,Whittlesea - Wallan,Melbourne - North East,Middle ring,8279,8068,8280,8380,8322,524.3,-0.7,Decline,15.8714,1,0,73,74,88.92,112.0,Bus,High
Highest access,7,206041119,East Melbourne,Melbourne City,Melbourne - Inner,Inner Melbourne,4959,4860,5066,5169,5245,1808.7,1.5,Stable,2.8998,2,34,10,46,87.7,114.0,Tram,High
Highest access,8,208031191,Moorabbin - Heatherton,Kingston,Melbourne - Inner South,Inner Melbourne,9197,9209,9414,9679,9826,839.9,1.5,Stable,11.6997,1,0,85,86,87.52,114.0,Bus,High
Highest access,9,209031214,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,Middle ring,6987,6964,6972,7017,7039,141.4,0.3,Stable,49.7946,0,0,58,58,82.4,121.0,Bus,High
Highest access,10,211051274,Belgrave - Selby,Yarra Ranges,Melbourne - Outer East,Outer / growth corridor,10091,9977,9942,9958,9964,179.0,0.1,Stable,55.652,1,0,77,78,78.28,128.0,Bus,High
Highest access,11,211021262,Warrandyte - Wonga Park,Manningham - East,Melbourne - Outer East,Outer / growth corridor,10181,10076,10124,10212,10229,223.5,0.2,Stable,45.7591,0,0,80,80,78.21,128.0,Bus,High
Highest access,12,210011228,Keilor,Keilor,Melbourne - North West,Outer / growth corridor,8596,8531,8548,8675,8732,498.6,0.7,Stable,17.512,0,0,66,66,75.58,132.0,Bus,High
Highest access,13,208031187,Chelsea Heights,Kingston,Melbourne - Inner South,Inner Melbourne,5426,5364,5359,5431,5445,1703.8,0.3,Stable,3.1958,0,0,41,41,75.3,133.0,Bus,High
Highest access,14,213021343,Altona North,Hobsons Bay,Melbourne - West,Outer / growth corridor,15084,15034,15342,15851,16493,1019.1,4.1,Growing,16.1844,0,0,124,124,75.18,133.0,Bus,High
Highest access,15,213041577,Melton,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,7966,7893,7990,8017,8007,812.0,-0.1,Decline,9.8614,0,0,59,59,73.69,136.0,Bus,High
